CASES	California	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin
2020-02-04	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-05	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-06	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-07	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-08	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-09	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-10	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-11	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-12	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-13	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-14	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-15	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-16	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-17	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-18	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-19	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-20	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-21	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-22	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-23	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-24	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-25	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-26	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-27	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-28	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-29	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-01	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-02	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-03	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-04	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-05	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-06	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-07	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-08	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-09	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-10	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-11	28	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2020-03-12	32	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2020-03-13	40	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2020-03-14	53	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	1	0
2020-03-15	69	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	1	0
2020-03-16	94	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	3	1
2020-03-17	144	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	3	1
2020-03-18	190	0	0	0	0	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	47	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	5	0	0	3	1
2020-03-19	231	0	0	0	1	2	0	0	1	0	0	4	0	27	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	62	0	0	0	1	3	0	1	0	0	0	3	0	0	0	1	0	0	6	0	0	0	0	0	0	2	0	2	12	0	0	5	1
2020-03-20	292	0	0	0	1	2	0	0	1	1	0	5	0	32	0	0	1	1	1	0	14	0	0	1	0	0	0	0	1	0	4	0	4	0	0	0	0	1	0	0	0	95	0	0	0	2	7	0	1	0	0	0	3	0	1	0	2	0	0	6	2	0	0	0	0	0	3	0	3	15	0	0	5	1
2020-03-21	351	0	0	0	1	3	0	0	1	1	0	5	0	49	0	0	1	1	2	0	15	0	0	1	0	0	0	0	1	0	5	0	5	0	0	0	0	1	0	0	0	126	0	0	0	2	11	0	1	0	0	0	4	0	3	0	2	0	0	6	2	0	0	0	0	0	3	0	3	20	0	0	5	1
2020-03-22	421	0	0	0	1	3	0	0	1	1	0	5	0	61	0	0	1	1	4	0	16	0	0	1	0	0	0	0	2	0	10	0	5	0	0	0	0	1	0	0	0	183	0	0	0	2	13	0	1	0	0	0	4	0	3	0	2	0	0	6	2	0	0	0	0	0	3	0	14	30	0	0	5	1
2020-03-23	536	0	0	0	1	3	0	0	1	1	0	5	0	61	2	0	2	1	4	0	16	0	0	1	0	0	0	0	2	0	12	0	5	0	0	0	0	1	0	0	0	206	0	0	0	2	14	0	3	0	0	0	5	0	3	0	3	0	0	6	3	0	0	0	0	0	3	0	15	31	0	0	5	1
2020-03-24	662	0	0	0	1	3	0	0	1	2	0	5	0	72	2	0	4	1	4	0	18	0	0	1	0	0	0	0	4	0	13	0	5	0	0	0	0	1	0	0	0	243	0	0	0	2	16	0	3	0	0	0	5	0	3	0	4	0	0	6	4	0	0	0	0	0	4	0	17	31	0	0	5	1
2020-03-25	799	0	0	0	1	3	0	0	1	1	0	5	0	88	3	0	4	1	5	0	18	0	1	1	0	3	0	0	5	1	14	0	12	0	0	0	0	1	0	0	0	325	1	0	0	4	20	0	3	0	0	0	7	0	4	0	6	0	0	7	4	0	0	0	0	0	5	0	21	42	0	0	5	1
2020-03-26	1216	0	0	0	1	4	0	0	1	1	1	5	0	114	3	0	4	1	6	0	17	0	1	1	0	3	0	0	5	1	19	0	12	0	0	0	0	1	0	0	0	393	1	0	0	4	22	0	3	0	1	0	8	0	8	0	7	0	0	7	4	0	0	0	0	1	5	0	25	56	0	0	6	2
2020-03-27	1465	0	0	0	2	5	0	0	1	3	3	7	0	158	6	0	5	2	8	0	19	0	1	3	0	3	1	0	6	2	24	0	15	0	0	0	0	1	1	0	0	468	1	0	0	4	30	0	4	0	1	0	9	2	12	0	8	0	0	7	4	0	0	0	0	2	5	0	27	61	1	0	6	2
2020-03-28	1804	0	0	0	2	6	0	0	1	4	3	7	0	158	6	0	6	2	8	0	20	0	1	4	0	3	1	0	8	2	24	0	15	0	0	0	0	1	1	0	0	541	1	0	1	4	33	0	4	0	1	0	16	2	12	0	11	0	0	8	4	0	0	0	0	2	6	0	31	72	1	0	7	2
2020-03-29	2136	0	0	0	2	6	0	0	1	4	3	9	0	179	8	0	6	3	10	0	20	0	1	4	0	3	1	0	8	3	30	0	15	0	0	0	0	1	1	0	0	565	1	0	1	6	34	0	4	0	1	0	17	2	14	0	12	0	0	8	4	0	0	0	0	2	6	0	31	83	1	0	8	2
2020-03-30	2474	0	0	0	2	7	0	0	1	7	3	9	0	183	8	1	6	3	10	0	22	0	1	5	0	3	1	2	10	3	30	0	16	0	0	0	0	2	1	2	0	663	1	0	3	9	36	0	6	0	1	0	21	2	15	0	13	0	0	8	4	0	0	0	0	3	6	0	34	93	1	0	10	2
2020-03-31	3011	0	1	0	2	9	1	0	1	8	3	9	0	194	10	1	6	3	11	0	22	0	2	6	0	3	1	2	11	3	37	0	19	0	0	0	0	3	1	2	0	674	2	1	3	12	43	0	7	0	1	0	26	2	16	0	13	0	0	11	5	0	0	0	0	3	6	0	40	101	1	0	11	2
2020-04-01	3518	0	1	0	3	11	1	0	2	10	5	13	1	215	13	1	7	3	12	0	24	0	2	7	0	3	1	2	12	4	54	0	19	0	0	0	0	5	2	2	1	780	2	1	3	12	46	0	7	0	1	0	28	2	17	0	14	0	0	14	6	0	0	0	0	3	12	0	44	107	2	0	13	2
2020-04-02	4045	1	1	0	3	17	2	0	3	11	6	15	1	228	13	2	6	3	14	0	28	0	2	7	0	3	1	2	12	4	67	0	19	0	0	0	0	8	2	2	1	869	3	1	3	14	47	0	7	0	2	0	35	2	19	0	16	0	0	16	6	0	1	0	0	3	15	0	46	120	2	0	17	2
2020-04-03	4566	1	1	3	3	24	2	0	3	14	6	18	1	244	14	2	6	5	16	0	30	0	2	8	0	3	1	2	13	4	81	0	19	0	0	0	0	9	2	2	1	955	3	1	3	19	50	0	7	0	3	0	41	2	20	1	18	0	0	20	7	0	1	0	0	3	15	0	52	133	2	0	18	2
2020-04-04	5277	1	1	3	3	27	2	0	3	16	6	19	1	253	14	2	7	5	17	0	36	0	2	8	0	3	1	3	13	5	93	0	21	0	0	0	1	11	2	2	1	1069	5	1	3	20	53	0	7	0	3	0	48	3	26	1	18	0	1	21	7	0	1	0	0	3	16	0	55	147	2	0	18	2
2020-04-05	5940	1	1	4	3	29	2	0	4	16	6	19	2	269	14	4	7	5	21	1	43	0	2	9	0	3	1	3	14	5	98	0	21	0	0	0	3	12	2	2	1	1148	6	1	3	21	56	0	7	0	3	0	54	3	28	3	18	0	1	21	7	0	1	0	0	4	20	0	57	154	2	0	20	2
2020-04-06	6360	2	1	4	3	39	2	0	4	16	7	21	2	278	15	4	7	5	21	2	43	0	3	9	0	3	1	4	14	5	104	1	22	0	0	0	3	12	3	2	1	1256	7	1	3	22	62	0	7	0	3	0	57	3	34	3	18	0	2	21	7	0	1	0	0	4	20	0	57	160	2	1	24	2
2020-04-07	6910	2	1	4	3	41	2	0	4	16	7	23	2	289	15	7	7	5	21	2	44	0	3	9	0	4	1	4	15	5	112	1	22	1	0	0	3	12	3	2	1	1323	5	1	5	25	66	0	7	0	4	0	66	3	37	3	20	0	3	30	7	0	1	0	0	4	21	0	59	166	2	1	24	2
2020-04-08	7530	2	1	5	3	47	2	0	4	17	7	24	2	302	16	7	7	6	21	2	48	0	3	9	0	4	1	5	16	5	129	1	22	1	0	0	4	12	3	2	1	1417	5	2	5	25	70	0	7	0	4	0	77	3	42	3	20	0	4	31	7	0	1	0	0	4	23	0	62	174	2	1	24	2
2020-04-09	7955	2	1	5	3	50	2	0	4	17	7	25	2	307	16	8	7	7	21	2	49	0	4	9	0	4	1	7	19	5	135	1	23	2	0	0	3	12	3	2	1	1484	6	3	5	26	71	0	7	0	4	0	84	3	47	3	21	1	4	31	7	0	1	0	0	4	28	0	63	184	3	2	25	2
2020-04-10	8430	2	1	6	3	55	2	0	4	18	7	24	3	313	18	8	7	8	21	2	52	0	4	9	0	4	1	10	21	5	147	1	25	2	0	0	3	12	3	2	1	1575	8	3	5	29	71	0	7	1	4	0	100	4	51	3	25	1	5	33	7	0	1	0	0	4	35	0	67	193	3	2	25	2
2020-04-11	8873	2	1	6	3	60	3	0	4	18	7	24	3	327	18	9	7	9	21	2	52	0	5	9	0	4	2	10	22	5	163	1	25	3	0	0	3	13	3	2	1	1653	8	3	5	29	72	0	7	1	4	1	105	5	53	3	25	1	5	34	8	0	1	0	0	4	35	0	71	201	3	2	25	2
2020-04-12	9192	2	2	6	3	68	3	0	4	20	8	24	3	334	19	9	7	9	21	2	54	0	6	9	0	5	2	10	23	6	173	3	25	3	0	0	3	13	3	2	1	1710	8	3	6	29	72	0	7	3	4	1	117	5	56	3	26	1	5	34	9	0	1	0	0	4	37	0	71	209	4	2	27	2
2020-04-13	9420	3	2	6	3	77	3	0	5	20	8	25	3	340	19	9	7	9	21	2	57	0	6	9	1	5	2	10	24	7	182	4	25	3	0	0	3	14	3	2	1	1743	8	3	6	29	72	0	7	3	4	1	117	5	60	3	26	1	5	36	10	0	1	0	0	4	38	0	73	218	4	2	27	2
2020-04-14	10047	3	2	6	3	97	4	0	5	20	8	25	3	344	19	9	7	9	21	2	59	0	8	9	1	5	2	10	24	7	186	4	25	3	0	0	4	14	4	2	1	1795	8	4	6	29	73	0	7	3	4	1	135	6	59	3	28	2	6	36	10	0	1	0	0	4	45	1	73	224	4	2	29	2
